suite,query_name,mode,disable_zonemap,disable_sketch,runs,avg_total_time_s,avg_row_groups_pruned_by_zonemap,avg_segments_pruned_by_zonemap,avg_segments_pruned_by_sketch,avg_vectors_processed
ndv_selectivity,low_1_pct,full,false,false,10,0.024250,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_1_pct,none,true,true,10,0.023520,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_1_pct,sketch_only,true,false,10,0.023320,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_1_pct,zonemap_only,false,true,10,0.021420,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_20_pct,full,false,false,10,0.023780,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_20_pct,none,true,true,10,0.024490,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_20_pct,sketch_only,true,false,10,0.023670,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_20_pct,zonemap_only,false,true,10,0.021770,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_50_pct,full,false,false,10,0.024590,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_50_pct,none,true,true,10,0.023480,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_50_pct,sketch_only,true,false,10,0.023780,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_50_pct,zonemap_only,false,true,10,0.022320,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_5_pct,full,false,false,10,0.023840,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_5_pct,none,true,true,10,0.023060,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_5_pct,sketch_only,true,false,10,0.023710,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_5_pct,zonemap_only,false,true,10,0.022710,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_90_pct,full,false,false,10,0.023610,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_90_pct,none,true,true,10,0.022680,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_90_pct,sketch_only,true,false,10,0.023320,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_90_pct,zonemap_only,false,true,10,0.024720,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,medium_10_pct,full,false,false,10,0.021360,0.000000,0.000000,0.000000,4883.000000
